RecordNo,Study,Region,Treat,TreatDetail,yearabs,yearnum,per_ha_dead,,,
95,McGregor87,MT,limit,H5_30cmlimit,1981,2,14.1,,,
96,McGregor87,MT,limit,H5_30cmlimit,1982,3,19,,,
97,McGregor87,MT,limit,H5_30cmlimit,1983,4,0,,,
98,McGregor87,MT,limit,H5_30cmlimit,1984,5,0,,,
99,McGregor87,MT,limit,Lo4_24cmlimit,1980,1,0,,,
100,McGregor87,MT,limit,Lo4_24cmlimit,1981,2,25.9,,,
101,McGregor87,MT,limit,Lo4_24cmlimit,1982,3,36.6,,,
102,McGregor87,MT,limit,Lo4_24cmlimit,1983,4,2.7,,,
103,McGregor87,MT,limit,Lo4_24cmlimit,1984,5,0,,,
104,McGregor87,MT,limit,Lo7_24cmlimit,1980,1,0,,,
105,McGregor87,MT,limit,Lo7_24cmlimit,1981,2,37.6,,,
106,McGregor87,MT,limit,Lo7_24cmlimit,1982,3,0,,,
107,McGregor87,MT,limit,Lo7_24cmlimit,1983,4,0,,,
108,McGregor87,MT,limit,Lo7_24cmlimit,1984,5,0,,,
109,McGregor87,MT,limit,Lo7_24cmlimit_plot2,1980,1,0,,,
110,McGregor87,MT,limit,Lo7_24cmlimit_plot2,1981,2,37.6,,,
111,McGregor87,MT,limit,Lo7_24cmlimit_plot2,1982,3,0,,,
112,McGregor87,MT,limit,Lo7_24cmlimit_plot2,1983,4,0,,,
113,McGregor87,MT,limit,Lo7_24cmlimit_plot2,1984,5,0,,,
114,McGregor87,MT,limit,Lo2_30cmlimit,1980,1,0,,,
115,McGregor87,MT,limit,Lo2_30cmlimit,1981,2,0,,,
116,McGregor87,MT,limit,Lo2_30cmlimit,1982,3,128.2,,,
117,McGregor87,MT,limit,Lo2_30cmlimit,1983,4,1,,,
118,McGregor87,MT,limit,Lo2_30cmlimit,1984,5,0,,,
119,McGregor87,MT,limit,Lo3_30cmlimit,1980,1,0,,,
120,McGregor87,MT,limit,Lo3_30cmlimit,1981,2,26.9,,,
121,McGregor87,MT,limit,Lo3_30cmlimit,1982,3,75.9,,,
122,McGregor87,MT,limit,Lo3_30cmlimit,1983,4,2.5,,,
123,McGregor87,MT,limit,Lo3_30cmlimit,1984,5,0,,,
124,McGregor87,MT,limit,Lo8_30cmlimit,1980,1,0,,,
125,McGregor87,MT,limit,Lo8_30cmlimit,1981,2,7.4,,,
126,McGregor87,MT,limit,Lo8_30cmlimit,1982,3,59.6,,,
127,McGregor87,MT,limit,Lo8_30cmlimit,1983,4,5.9,,,
128,McGregor87,MT,limit,Lo8_30cmlimit,1984,5,0,,,
154,Gibson90,MT,monitor,cent_val,1977,1,24.46861097,,,
155,Gibson90,MT,monitor,cent_val,1978,2,33.36628769,,,
156,Gibson90,MT,monitor,cent_val,1979,3,118.1413742,,,
157,Gibson90,MT,monitor,cent_val,1980,4,21.99703411,,,
158,Gibson90,MT,monitor,cent_val,1981,5,13.59367276,,,
159,Gibson90,MT,monitor,cent_val,1982,6,0,,,
160,Gibson90,MT,monitor,mad_riv,1977,1,10.38062284,,,
161,Gibson90,MT,monitor,mad_riv,1978,2,36.8264953,,,
162,Gibson90,MT,monitor,mad_riv,1979,3,21.74987642,,,
163,Gibson90,MT,monitor,mad_riv,1980,4,13.84083045,,,
164,Gibson90,MT,monitor,mad_riv,1981,5,10.38062284,,,
165,Gibson90,MT,monitor,mad_riv,1982,6,0,,,
166,Gibson90,MT,monitor,mur_crk,1977,1,6.426099852,,,
167,Gibson90,MT,monitor,mur_crk,1978,2,10.38062284,,,
168,Gibson90,MT,monitor,mur_crk,1979,3,8.897676718,,,
169,Gibson90,MT,monitor,mur_crk,1980,4,23.72713791,,,
170,Gibson90,MT,monitor,mur_crk,1981,5,18.04251112,,,
